qty	log_qty	ct
3.65E+08	8.56E+00	7.49
3.65E+08	8.56E+00	7.46
3.65E+08	8.56E+00	7.56
3.65E+07	7.56E+00	11.11
3.65E+07	7.56E+00	11.13
3.65E+07	7.56E+00	11.30
3.65E+06	6.56E+00	15.36
3.65E+06	6.56E+00	15.26
3.65E+06	6.56E+00	15.57
3.65E+05	5.56E+00	19.05
3.65E+05	5.56E+00	19.03
3.65E+05	5.56E+00	19.09
3.65E+04	4.56E+00	23.16
3.65E+04	4.56E+00	23.26
3.65E+04	4.56E+00	23.17
3.65E+03	3.56E+00	26.63
3.65E+03	3.56E+00	26.71
3.65E+03	3.56E+00	26.96
3.65E+02	2.56E+00	30.77
3.65E+02	2.56E+00	30.84
3.65E+02	2.56E+00	30.59